open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1736294400000,96920.20,97242.20,96669.40,97228.00,6054.329,1736297999999,587002613.81190,115989,3040.443,294821119.89150,0
1736298000000,97228.00,97228.10,96571.00,96867.00,4225.599,1736301599999,409369135.25690,104704,1902.692,184324255.75000,0
1736301600000,96867.10,97143.90,96736.40,96829.70,3389.991,1736305199999,328754469.29270,79242,1562.136,151510729.43570,0
1736305200000,96829.70,96830.10,96200.00,96504.10,8920.271,1736308799999,860657534.43510,182952,4395.334,424058374.97770,0
1736308800000,96504.10,96600.00,96010.00,96248.90,7297.081,1736312399999,702692114.00490,151220,3385.494,326091600.21490,0
1736312400000,96248.90,96616.30,96069.20,96454.60,5062.710,1736315999999,488029005.29850,117601,2499.452,240975945.00760,0
1736316000000,96454.70,96605.50,95225.30,95267.90,17436.014,1736319599999,1668943977.13580,282006,6937.613,664019963.95500,0
1736319600000,95267.80,95798.00,95222.00,95628.40,8582.640,1736323199999,819609849.15990,174280,4416.680,421823705.05650,0
1736323200000,95628.30,96100.00,95500.00,95910.90,6308.108,1736326799999,604606770.72300,126855,3043.629,291744341.71180,0
1736326800000,95910.90,96072.60,95369.60,95401.00,4652.252,1736330399999,445589154.49430,95101,1852.282,177471467.45030,0
1736330400000,95400.90,95964.60,95400.90,95913.00,4573.005,1736333999999,437504514.19780,97235,2542.414,243263284.69610,0
1736334000000,95913.10,96015.80,94480.70,95093.90,17901.879,1736337599999,1701138978.07040,281276,7844.714,745464510.49330,0
1736337600000,95093.80,95335.10,94808.50,94849.60,9095.257,1736341199999,864738830.01820,179230,4490.904,427017357.86300,0
1736341200000,94849.60,95629.00,94849.60,95343.60,9961.319,1736344799999,949730394.07210,215806,5225.552,498261289.29660,0
1736344800000,95343.50,95848.60,94839.50,95256.90,14167.231,1736348399999,1350007198.66760,330431,7266.140,692544400.05680,0
1736348400000,95256.80,96064.50,94588.90,95450.00,22545.668,1736351999999,2147077211.60480,428259,10998.008,1047736192.36600,0
1736352000000,95449.90,95456.20,94513.00,94744.00,9908.571,1736355599999,940223873.96430,245849,4674.249,443565828.66410,0
1736355600000,94743.90,94813.00,92500.00,93974.80,44140.048,1736359199999,4130025927.27090,692431,19908.590,1862681168.37470,0
1736359200000,93974.80,95080.00,93718.40,94206.20,21530.680,1736362799999,2031998635.81670,380865,10866.855,1025619914.66470,0
1736362800000,94206.10,94820.00,94000.00,94217.20,11742.255,1736366399999,1108186746.99320,251051,6026.325,568803102.04250,0
1736366400000,94217.10,94376.20,93711.00,93948.50,7447.487,1736369999999,700120242.60460,158861,3741.487,351707901.75880,0
1736370000000,93949.40,94549.60,93509.80,94422.80,6978.269,1736373599999,656601376.19240,144657,3630.211,341731746.53570,0
1736373600000,94422.80,95248.00,94414.00,95247.80,7091.579,1736377199999,672818627.80730,119215,4157.666,394530955.53080,0
1736377200000,95247.80,95265.80,94852.10,95014.10,2999.870,1736380799999,285061694.47240,79225,1337.171,127061682.37050,0
