open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1738195200000,103698.10,104082.80,103224.50,103978.30,4780.524,1738198799999,495448931.82670,123623,2453.364,254300545.97450,0
1738198800000,103978.30,104533.30,103880.00,104221.90,4883.966,1738202399999,509177646.44020,116422,2403.762,250596438.67160,0
1738202400000,104221.90,104647.50,103944.90,104644.10,5060.964,1738205999999,527914665.93160,111036,3007.498,313797867.19460,0
1738206000000,104644.00,105287.90,104461.50,105155.70,8410.510,1738209599999,882048623.75950,172085,4925.543,516670869.87300,0
1738209600000,105155.60,105564.50,104800.00,105432.30,6965.470,1738213199999,732296615.85410,154587,3403.595,357959888.73960,0
1738213200000,105432.30,105477.90,104992.70,105343.10,5445.319,1738216799999,573091726.90340,115471,2534.535,266729885.69250,0
1738216800000,105343.10,105540.20,105115.00,105140.10,3733.900,1738220399999,393260188.42090,82049,1772.622,186704199.80310,0
1738220400000,105140.10,105309.30,104762.90,105085.10,5744.668,1738223999999,602717962.49650,101470,2979.635,312619092.11240,0
1738224000000,105085.20,105294.20,104879.30,105010.00,3218.727,1738227599999,338374180.19140,82573,1616.044,169905376.41760,0
1738227600000,105010.00,105514.20,104972.30,105369.20,3722.073,1738231199999,392001257.71820,84912,1736.677,182901635.24480,0
1738231200000,105369.10,105369.20,105059.30,105298.70,2900.435,1738234799999,305090114.81210,64220,1332.668,140176078.74260,0
1738234800000,105298.70,105357.10,105024.30,105251.90,2446.913,1738238399999,257430842.63650,60934,1115.810,117379767.91020,0
1738238400000,105251.90,105279.40,104813.80,104976.40,3228.547,1738241999999,338980394.42250,78451,1572.430,165085063.10670,0
1738242000000,104976.30,105329.70,104787.20,104835.00,5387.802,1738245599999,566048892.19850,129587,2555.291,268473243.80110,0
1738245600000,104835.00,106294.70,104607.20,105879.80,18710.900,1738249199999,1973308044.36300,334380,9971.786,1051708168.81380,0
1738249200000,105879.80,106450.00,105333.00,105519.40,14418.688,1738252799999,1526237676.56560,326000,7594.420,804097147.23250,0
1738252800000,105519.40,105960.00,105402.30,105657.30,4569.701,1738256399999,483124217.02520,131382,2303.454,243528060.61820,0
1738256400000,105657.40,105657.40,104850.00,105240.10,7463.876,1738259999999,784922558.30770,156348,3381.330,355633605.78430,0
1738260000000,105240.10,105537.60,104704.10,105523.40,6218.402,1738263599999,654010231.60070,128889,3060.789,321930059.16230,0
1738263600000,105523.40,105732.70,105170.50,105659.80,3636.089,1738267199999,383388093.49120,99003,1771.225,186761880.16190,0
1738267200000,105659.90,105767.10,104768.00,104836.20,8709.320,1738270799999,916781918.69650,173744,4532.833,477229273.80270,0
1738270800000,104836.30,105165.80,104737.00,104996.40,3091.316,1738274399999,324490725.30490,77332,1623.924,170468963.12150,0
1738274400000,104996.40,105300.50,104923.00,105041.90,1302.634,1738277999999,136897945.10160,38263,663.819,69766223.92520,0
1738278000000,105041.90,105213.50,104628.30,104676.90,2916.656,1738281599999,306029050.93080,60711,1298.479,136253087.25280,0
