open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1738108800000,101279.70,101770.30,101269.70,101651.60,4797.692,1738112399999,487096570.72510,108425,2639.287,267968178.26220,0
1738112400000,101651.60,101966.30,101422.20,101806.10,3718.573,1738115999999,378272412.27550,94041,1957.401,199172874.51050,0
1738116000000,101806.00,102300.00,101650.00,101744.80,3752.320,1738119599999,382495362.71230,90435,1820.057,185613971.40080,0
1738119600000,101744.90,102118.30,101725.50,101994.00,2656.453,1738123199999,270807240.26690,74522,1270.765,129550338.62060,0
1738123200000,101994.10,102154.50,101908.50,101956.50,2065.063,1738126799999,210723928.66640,62511,938.210,95749342.09260,0
1738126800000,101956.50,102368.40,101933.60,102218.30,2269.070,1738130399999,231866405.42050,60082,1171.881,119758966.21480,0
1738130400000,102218.30,102800.60,102187.50,102763.30,4522.397,1738133999999,463684145.02850,108516,2485.571,254855485.61970,0
1738134000000,102763.20,102768.20,102417.40,102723.20,3872.373,1738137599999,397226023.14820,85695,1803.931,185049174.12600,0
1738137600000,102723.20,103012.60,102644.10,102705.00,4329.903,1738141199999,445185845.45630,104793,2359.462,242622679.63500,0
1738141200000,102705.00,102744.80,102258.40,102300.00,4454.092,1738144799999,456510505.29600,99087,2067.416,211906000.68210,0
1738144800000,102300.00,102690.00,102153.80,102510.00,3107.374,1738148399999,318358263.04110,74374,1579.675,161861853.56030,0
1738148400000,102510.00,102781.60,102374.40,102594.70,2246.334,1738151999999,230345600.41700,62501,1240.014,127161060.75240,0
1738152000000,102594.70,102783.70,102158.00,102189.90,5232.823,1738155599999,536001261.63340,108076,2462.500,252249409.76150,0
1738155600000,102189.90,102291.60,101652.00,101788.70,9158.936,1738159199999,933650868.18150,193836,4583.610,467284651.29440,0
1738159200000,101788.70,102356.70,101526.80,101989.70,8186.987,1738162799999,834593804.32070,220587,4114.702,419442817.39270,0
1738162800000,101990.20,102481.60,101737.00,101934.20,6148.610,1738166399999,627651865.25170,183831,3007.466,307065102.35670,0
1738166400000,101934.20,102129.90,101633.40,102057.40,4091.449,1738169999999,416925632.08900,123433,2029.233,206781490.70730,0
1738170000000,102057.30,102753.00,101943.10,102362.80,6560.520,1738173599999,671912731.62120,144475,3133.843,320965476.04230,0
1738173600000,102363.60,102980.30,101929.40,102807.70,8396.075,1738177199999,860787238.59200,184524,4452.447,456383575.36340,0
1738177200000,102807.70,103997.00,101365.00,103550.50,39034.460,1738180799999,4010456338.96680,770898,20046.826,2060172603.52940,0
1738180800000,103550.60,104755.00,102791.00,104155.50,22814.824,1738184399999,2370618393.56540,546044,11739.195,1219931739.15120,0
1738184400000,104155.40,104356.20,103669.10,103681.70,9291.353,1738187999999,966367903.56780,228147,4404.071,458040953.51650,0
1738188000000,103681.70,103975.00,103350.00,103440.00,4310.246,1738191599999,446534335.03270,110628,2251.227,233229914.50770,0
1738191600000,103440.10,104303.00,103414.20,103698.20,4972.025,1738195199999,516666545.99530,129084,2140.220,222401651.45850,0
