open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1737763200000,104808.00,104808.10,104310.00,104370.90,4738.537,1737766799999,495493589.75820,124726,2366.998,247559781.61230,0
1737766800000,104371.00,104779.80,104331.50,104690.10,3014.034,1737770399999,315354084.17670,75252,1545.773,161731266.10360,0
1737770400000,104690.00,104803.40,104413.10,104520.30,2333.561,1737773999999,244046913.25000,56413,923.446,96589418.75100,0
1737774000000,104520.30,105234.50,104413.80,105153.90,3935.990,1737777599999,412760669.74030,89661,2364.314,247971002.29240,0
1737777600000,105153.90,105153.90,104564.90,104609.40,2301.458,1737781199999,241293481.62120,58302,792.202,83070216.55060,0
1737781200000,104609.30,104653.20,104128.20,104315.70,3509.165,1737784799999,366469532.65240,80199,1453.453,151833911.07900,0
1737784800000,104315.70,104439.20,104188.00,104265.10,3162.867,1737788399999,329891077.45260,76947,1517.197,158246459.39040,0
1737788400000,104265.10,104479.20,104240.00,104349.30,1594.929,1737791999999,166464331.27030,46608,887.113,92588293.90590,0
1737792000000,104349.40,104461.50,104071.00,104303.60,2258.027,1737795599999,235440171.85080,57066,961.018,100217953.43930,0
1737795600000,104303.60,104412.60,104230.10,104324.00,1250.312,1737799199999,130433192.90810,45953,671.164,70015617.77000,0
1737799200000,104323.90,104629.90,104040.60,104480.60,3645.505,1737802799999,380283810.72770,89649,2118.915,221057558.61760,0
1737802800000,104480.60,104650.50,104341.20,104626.80,2885.012,1737806399999,301511256.20420,56343,1404.221,146771364.64940,0
1737806400000,104626.90,104747.20,104400.10,104699.90,2067.767,1737809999999,216219657.86950,56473,1004.781,105079089.00590,0
1737810000000,104699.80,104815.00,104572.80,104658.60,2553.072,1737813599999,267346542.97170,65831,1194.422,125081499.60550,0
1737813600000,104658.70,104674.10,104411.80,104551.20,1427.609,1737817199999,149233006.09460,52905,730.457,76361331.74430,0
1737817200000,104551.10,105066.00,104551.10,104852.10,4739.996,1737820799999,497017565.37630,112025,2701.386,283276527.76490,0
1737820800000,104852.10,104944.40,104529.80,104618.80,3095.627,1737824399999,324134425.73950,81684,1574.015,164831877.39260,0
1737824400000,104618.80,104895.60,104410.80,104850.10,3594.099,1737827999999,376014600.78860,92474,2017.594,211098821.94720,0
1737828000000,104850.00,105274.70,104786.70,104935.90,4089.082,1737831599999,429376141.40740,101093,2290.820,240549147.58750,0
1737831600000,104935.80,105140.00,104854.30,105005.60,2322.462,1737835199999,243881054.00800,51493,1027.398,107887001.75510,0
1737835200000,105005.70,105167.30,104903.60,104925.60,1629.499,1737838799999,171158799.57630,44879,814.629,85570545.62490,0
1737838800000,104925.60,105096.60,104823.40,105061.50,1776.405,1737842399999,186398553.51570,43701,977.366,102558946.73060,0
1737842400000,105061.60,105234.30,104956.70,105025.10,1627.113,1737845999999,171012202.79780,42168,760.615,79954953.94610,0
1737846000000,105025.10,105085.10,104643.30,104702.00,2078.035,1737849599999,217837440.00390,51266,741.039,77702038.25270,0
