open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1736812800000,94485.40,94852.10,94305.40,94439.20,5860.973,1736816399999,554017286.36890,137505,2549.420,241036997.08860,0
1736816400000,94439.30,95021.90,94422.70,94798.50,6432.792,1736819999999,609701575.87840,145880,3405.234,322818020.18290,0
1736820000000,94798.40,95260.00,94703.00,94848.40,7205.243,1736823599999,684691920.02080,142089,3883.419,369098406.82610,0
1736823600000,94848.50,95074.60,94782.60,94821.20,3192.703,1736827199999,302978653.86540,83447,1511.345,143441041.24360,0
1736827200000,94821.30,95114.90,94787.00,95076.80,3004.438,1736830799999,285261590.60570,77681,1531.359,145413207.58470,0
1736830800000,95076.80,95437.80,94805.00,94886.30,5589.081,1736834399999,532017154.17470,106766,2500.561,238128026.70990,0
1736834400000,94886.30,94999.00,94710.00,94998.90,3968.402,1736837999999,376312383.70840,82425,1850.430,175501181.19710,0
1736838000000,94999.00,95133.10,94802.10,94823.30,3461.043,1736841599999,328693147.43710,67186,1764.278,167591492.97820,0
1736841600000,94823.40,95797.90,94823.30,95451.90,12353.847,1736845199999,1178908580.65230,198797,7639.836,728997835.94400,0
1736845200000,95452.00,97353.90,95414.00,97130.00,26157.818,1736848799999,2525427484.73440,385576,15182.860,1465551367.48090,0
1736848800000,97129.90,97155.00,96541.30,96648.20,11054.311,1736852399999,1069828829.40790,206019,5105.530,494087020.00220,0
1736852400000,96648.20,96660.00,96309.60,96508.40,6177.607,1736855999999,596074052.96570,113518,3012.471,290674465.62260,0
1736856000000,96508.30,96682.70,95945.70,95953.40,8682.700,1736859599999,835289430.21650,153539,3962.725,381275824.37320,0
1736859600000,95953.50,97250.00,95715.80,96295.40,19827.845,1736863199999,1913159306.48340,325608,10579.056,1021053299.19650,0
1736863200000,96295.30,97232.30,95968.80,96249.00,17486.836,1736866799999,1689738712.66950,347749,8602.989,831477696.23350,0
1736866800000,96249.00,96939.00,96249.00,96416.70,11293.454,1736870399999,1090879404.32910,243884,5583.341,539335396.38540,0
1736870400000,96416.80,96416.80,95309.90,95703.80,20410.152,1736873999999,1955878740.87070,359178,9931.773,951830508.50510,0
1736874000000,95703.80,96500.00,95540.00,96481.30,8961.569,1736877599999,860589433.63600,190830,4565.263,438396905.22890,0
1736877600000,96481.20,96921.00,96240.20,96726.80,7505.149,1736881199999,725108825.44840,158872,3842.396,371281979.89370,0
1736881200000,96726.70,97044.80,96421.80,96496.50,6780.799,1736884799999,656242425.99800,140226,3315.252,320884674.34260,0
1736884800000,96496.50,96882.80,96100.10,96460.10,7960.958,1736888399999,768134950.76330,180450,4135.144,398946966.49360,0
1736888400000,96460.30,96650.00,96269.60,96448.00,3173.050,1736891999999,306078888.75230,73639,1788.802,172564351.65680,0
1736892000000,96448.00,96710.80,96407.00,96643.70,1728.566,1736895599999,166908177.36070,49828,935.566,90340349.60060,0
1736895600000,96643.70,96745.30,96450.50,96514.90,1993.829,1736899199999,192570599.94960,50586,876.225,84635056.34150,0
