open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1737849600000,104702.00,104807.00,104470.00,104562.40,1893.675,1737853199999,198173266.08380,51120,825.905,86445520.56340,0
1737853200000,104562.40,104737.80,104461.60,104572.40,1489.606,1737856799999,155797438.11550,40527,757.814,79265603.66820,0
1737856800000,104572.40,104672.60,104471.80,104654.10,977.991,1737860399999,102252601.63480,34040,465.369,48658072.65120,0
1737860400000,104654.10,105263.30,104653.90,105036.50,4163.207,1737863999999,437130092.15950,75893,2428.319,254960451.17230,0
1737864000000,105036.60,105496.90,104942.70,105137.00,3541.211,1737867599999,372591169.67600,80578,1634.954,172052706.94380,0
1737867600000,105137.00,105171.90,104976.30,105056.60,1234.143,1737871199999,129667995.62270,41556,603.355,63393618.82940,0
1737871200000,105056.50,105089.00,104923.00,104966.00,940.721,1737874799999,98783929.64280,32713,403.693,42393349.23170,0
1737874800000,104965.90,105073.20,104905.30,104963.70,1092.785,1737878399999,114710830.03250,31845,559.265,58707534.92720,0
1737878400000,104963.70,105208.80,104828.00,105000.00,2504.177,1737881999999,262958738.71850,58636,1284.964,134953369.10040,0
1737882000000,105000.00,105005.00,104358.30,104578.80,6853.714,1737885599999,716743849.31580,108962,3001.816,313907054.44510,0
1737885600000,104578.70,104674.10,104440.00,104664.50,2281.417,1737889199999,238547233.22010,51010,1244.011,130087775.32800,0
1737889200000,104664.60,104804.00,104612.40,104775.60,1661.347,1737892799999,173966385.16990,42304,870.697,91175540.12590,0
1737892800000,104775.60,104854.30,104648.80,104854.30,1236.367,1737896399999,129474777.36660,30892,633.739,66370766.87880,0
1737896400000,104854.30,105020.40,104780.00,104912.10,2516.468,1737899999999,263964083.74810,57550,1265.592,132764255.59420,0
1737900000000,104912.10,104967.20,104750.00,104892.50,1425.994,1737903599999,149529933.80280,41358,625.466,65588828.41280,0
1737903600000,104892.50,105043.40,104834.30,104919.90,1793.136,1737907199999,188214816.36260,45195,910.499,95572927.65740,0
1737907200000,104920.00,105000.00,104850.10,104890.00,1251.869,1737910799999,131346712.38590,33691,578.671,60715548.75280,0
1737910800000,104890.10,105027.80,104876.50,104905.10,1119.736,1737914399999,117507884.84170,30996,633.833,66514956.36650,0
1737914400000,104905.20,105237.00,104870.80,105143.80,3477.373,1737917999999,365475117.36260,68914,2076.377,218223727.76280,0
1737918000000,105143.80,105210.80,104995.20,105050.10,987.200,1737921599999,103738433.82250,30457,456.299,47947781.95380,0
1737921600000,105050.10,105175.00,104883.50,104914.70,1531.400,1737925199999,160815545.70160,38121,681.290,71554702.49500,0
1737925200000,104914.70,104994.40,104500.00,104500.00,3732.371,1737928799999,390850597.41910,79919,1624.250,170146974.24730,0
1737928800000,104500.00,104663.30,104239.00,104273.90,3737.420,1737932399999,390339029.18170,85280,1864.117,194718508.07030,0
1737932400000,104273.80,104273.80,102450.30,102560.10,24343.759,1737935999999,2511074864.66550,435565,10439.049,1076415231.45220,0
