open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1736467200000,92506.00,92815.00,92395.90,92725.90,6052.573,1736470799999,560439275.31510,123151,2715.564,251484935.26480,0
1736470800000,92725.90,93122.40,92540.90,93056.10,5160.959,1736474399999,479187243.87250,123816,2486.292,230903046.87820,0
1736474400000,93056.10,93649.00,92978.80,93315.80,5807.286,1736477999999,541898812.62950,137975,2908.108,271397872.80380,0
1736478000000,93315.90,93682.80,93194.50,93654.90,3687.866,1736481599999,344684843.97120,96073,1724.805,161267384.73570,0
1736481600000,93655.00,93862.00,93450.80,93792.90,4699.074,1736485199999,440036273.08340,106804,2285.871,214106380.68680,0
1736485200000,93792.90,94208.10,93593.50,93924.90,5679.937,1736488799999,533504130.65070,125230,2924.701,274788454.39160,0
1736488800000,93924.90,94300.00,93690.30,94207.60,5273.219,1736492399999,495557214.16680,114861,2663.454,250361773.24540,0
1736492400000,94207.60,94975.20,94020.50,94457.00,10776.775,1736495999999,1019087628.16250,198007,5746.530,543440120.88710,0
1736496000000,94457.00,94722.40,94344.50,94632.40,5381.734,1736499599999,508909562.63460,122010,2555.030,241622777.72910,0
1736499600000,94632.40,94933.70,94528.00,94734.90,5204.648,1736503199999,493346307.94850,107528,2693.988,255386852.65810,0
1736503200000,94735.00,95239.90,94706.30,95160.00,6548.041,1736506799999,621794312.32700,113323,3745.093,355714953.11920,0
1736506800000,95160.00,95204.00,94572.60,95030.50,7533.156,1736510399999,714538707.25290,128623,3198.516,303361938.86670,0
1736510400000,95030.50,95078.00,94660.00,94980.00,5586.006,1736513999999,529928749.54190,106236,2597.213,246430339.78850,0
1736514000000,94980.00,94996.70,92702.00,93522.00,37780.623,1736517599999,3536179312.75810,559735,18490.341,1730345552.62230,0
1736517600000,93522.10,94668.90,93377.60,94078.10,26858.873,1736521199999,2525980534.94520,518586,13622.277,1281350153.90430,0
1736521200000,94078.10,94498.40,92173.60,93704.00,40000.228,1736524799999,3732606360.79640,670479,18953.990,1768901898.18170,0
1736524800000,93704.00,94015.90,93151.50,93614.80,17795.543,1736528399999,1665773383.60420,346504,9040.490,846383829.25350,0
1736528400000,93614.90,95882.50,93276.50,95759.20,22321.108,1736531999999,2113613192.37760,353766,13626.883,1291026666.87680,0
1736532000000,95759.20,95759.20,94531.50,94820.90,15575.177,1736535599999,1482370067.68530,292883,7531.414,716782581.55820,0
1736535600000,94820.90,95347.60,94309.20,95275.90,8617.883,1736539199999,817793256.46360,194925,4166.076,395506947.05950,0
1736539200000,95276.00,95412.30,94531.40,94631.30,8414.406,1736542799999,798512836.91450,171210,4142.185,393070786.06980,0
1736542800000,94631.30,94885.80,94564.80,94582.80,3106.277,1736546399999,294207659.41330,75125,1600.839,151634415.94940,0
1736546400000,94582.90,94915.00,94541.70,94729.40,2292.433,1736549999999,217035303.35640,57323,1186.614,112349498.70560,0
1736550000000,94729.40,94868.10,94608.30,94675.50,1789.129,1736553599999,169499096.84570,45771,938.499,88915871.61540,0
