open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1737417600000,102247.70,102670.70,101100.00,101188.00,14330.490,1737421199999,1461381994.61990,389175,6851.058,698980750.52230,0
1737421200000,101188.10,102227.80,100097.20,101496.90,19210.730,1737424799999,1943544938.74780,487069,8770.626,887481594.25040,0
1737424800000,101496.80,102769.20,101048.10,102545.90,13186.933,1737428399999,1346932970.22480,327796,6556.720,669939725.92640,0
1737428400000,102546.00,103279.90,102299.60,102922.70,7619.907,1737431999999,783856591.81420,232042,3870.901,398273070.30970,0
1737432000000,102922.70,102972.50,101911.30,102337.20,7448.926,1737435599999,763283826.61400,222530,3357.501,344030378.76430,0
1737435600000,102337.20,102530.00,101332.50,101369.30,6284.091,1737439199999,639540347.19920,204981,2906.620,295882606.36790,0
1737439200000,101371.10,102184.40,101102.80,102169.70,7916.577,1737442799999,805141919.05920,213275,3957.060,402539852.06750,0
1737442800000,102169.60,102463.00,101781.10,101980.70,5351.606,1737446399999,546912575.60520,170962,2471.828,252624387.15830,0
1737446400000,101980.70,102488.00,101719.40,102436.70,4605.843,1737449999999,470803318.07220,166502,2401.307,245484084.50260,0
1737450000000,102436.80,102886.60,102047.30,102681.80,6827.937,1737453599999,699982347.91480,188894,3537.225,362701365.36940,0
1737453600000,102681.90,103343.10,102542.60,103144.70,6209.997,1737457199999,639456058.22220,171397,3323.081,342216373.32610,0
1737457200000,103144.70,103956.20,103053.90,103725.00,10770.207,1737460799999,1116026872.09820,236842,6282.510,650933272.74150,0
1737460800000,103725.00,104700.00,103585.70,104493.00,11865.842,1737464399999,1237826422.58100,250567,6569.898,685480361.37410,0
1737464400000,104492.90,104958.00,104100.00,104428.40,10043.794,1737467999999,1050589008.45360,227583,4980.658,521187790.64710,0
1737468000000,104428.30,105292.30,103000.00,103264.70,25075.700,1737471599999,2607914941.28020,533762,12582.481,1309029109.21090,0
1737471600000,103264.70,104101.20,102800.00,103929.10,17375.917,1737475199999,1797075530.85910,436331,8851.732,915683203.11990,0
1737475200000,103929.10,106568.80,103781.50,104955.50,35147.588,1737478799999,3706953985.81560,725190,17747.587,1871487507.28910,0
1737478800000,104955.60,106412.60,104875.80,106146.50,10982.226,1737482399999,1161168103.39600,296952,5520.570,583774603.65640,0
1737482400000,106146.50,107241.60,105857.80,106834.00,14270.853,1737485999999,1521853345.65820,344621,7417.501,791097585.89270,0
1737486000000,106834.00,107126.80,106248.00,106989.90,8492.234,1737489599999,905835166.46570,221710,4196.739,447716362.27690,0
1737489600000,106989.90,107180.00,105900.00,106099.90,11561.451,1737493199999,1230381361.36640,260678,5693.530,605962705.21560,0
1737493200000,106104.00,106781.00,105704.10,106737.00,7338.421,1737496799999,779700594.63150,170693,3896.306,414116780.20230,0
1737496800000,106737.00,106743.00,105941.00,105966.60,3517.637,1737500399999,374136569.22010,97147,1464.785,155805111.19110,0
1737500400000,105966.70,106257.20,105400.20,106114.50,7861.921,1737503999999,832092514.27590,197173,4047.456,428462535.53430,0
