open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1736121600000,98340.20,98759.50,98150.00,98185.30,4542.346,1736125199999,447067179.68040,95576,2338.282,230166146.39590,0
1736125200000,98185.30,98800.00,97872.60,98735.70,6137.011,1736128799999,603358951.10270,122498,3196.779,314389382.83960,0
1736128800000,98735.70,99278.00,98603.50,98786.70,12533.153,1736132399999,1240080054.15250,226583,6415.425,634871670.80630,0
1736132400000,98786.60,99220.20,98723.00,99005.00,3408.914,1736135999999,337561366.36900,74280,1687.675,167128534.90560,0
1736136000000,99005.00,99465.40,99005.00,99423.00,5492.645,1736139599999,545272627.82480,103595,3003.227,298176829.56160,0
1736139600000,99423.00,99886.70,99354.20,99560.00,10695.922,1736143199999,1065536183.77930,151647,5574.799,555334445.14110,0
1736143200000,99560.00,99748.20,99364.60,99466.80,5297.176,1736146799999,527285843.66280,95940,2426.027,241522338.59970,0
1736146800000,99466.90,99504.50,99128.00,99280.00,4356.651,1736150399999,432601069.27320,90885,2035.550,202133525.57910,0
1736150400000,99280.00,99600.00,98929.80,99001.30,7163.511,1736153999999,710579194.38500,108046,3265.911,324075046.34790,0
1736154000000,99001.20,99221.10,98894.00,98968.30,3602.282,1736157599999,356816364.59500,69351,1655.762,164017883.24500,0
1736157600000,98968.40,99031.70,98662.70,98741.50,4805.404,1736161199999,474939199.08140,90700,2590.665,256068869.03590,0
1736161200000,98741.40,99384.60,98667.60,99219.30,6348.189,1736164799999,629151281.74520,100335,3448.591,341751280.85790,0
1736164800000,99219.20,99680.00,99101.70,99119.80,6258.425,1736168399999,622096828.20920,111769,3191.483,317263069.74370,0
1736168400000,99119.70,99533.60,98863.40,99452.50,6906.199,1736171999999,684855040.12940,125105,3532.223,350354762.76900,0
1736172000000,99452.40,101250.00,98670.00,100702.10,33601.239,1736175599999,3362164847.28050,548207,18504.258,1852080253.54010,0
1736175600000,100702.00,102443.90,100413.10,102104.50,32040.561,1736179199999,3253887648.75420,589205,16454.629,1671393838.40260,0
1736179200000,102104.50,102444.00,101700.00,102116.60,17576.511,1736182799999,1795059198.45880,326447,8193.003,836845373.77650,0
1736182800000,102116.50,102116.60,101223.00,101795.30,11197.633,1736186399999,1138362189.73860,223191,5503.076,559444239.11380,0
1736186400000,101795.20,102023.90,101520.00,101701.60,6124.912,1736189999999,623668081.41170,139752,3043.358,309918583.16470,0
1736190000000,101701.70,101999.40,101586.70,101771.70,3487.781,1736193599999,355123260.29000,99544,1937.298,197289390.06320,0
1736193600000,101771.70,102288.00,101756.10,102075.50,6179.337,1736197199999,630545312.00140,142338,3194.840,325981938.08830,0
1736197200000,102075.50,102298.80,101551.20,101566.50,4446.022,1736200799999,453190315.11990,106275,2220.519,226345537.65680,0
1736200800000,101566.60,102047.40,101560.00,101966.00,2678.802,1736204399999,272730422.12950,62673,1547.392,157508656.97590,0
1736204400000,101965.90,102200.00,101852.10,102180.40,2612.703,1736207999999,266620654.22030,68905,1262.745,128866008.79170,0
