open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1736035200000,98173.20,98349.80,98108.30,98178.30,1534.445,1736038799999,150713724.30850,38790,711.043,69843864.36430,0
1736038800000,98178.30,98287.70,98001.10,98086.60,2034.128,1736042399999,199580083.47640,40690,899.918,88305803.39120,0
1736042400000,98086.60,98196.70,98067.00,98195.50,1087.736,1736045999999,106741262.88530,28716,679.301,66661166.02380,0
1736046000000,98195.50,98200.00,98030.00,98160.10,1000.430,1736049599999,98162324.03020,27088,501.346,49192186.67000,0
1736049600000,98160.00,98496.30,98160.00,98319.60,3094.445,1736053199999,304290054.26010,51991,1380.769,135781931.56800,0
1736053200000,98319.60,98473.30,98225.30,98307.40,2003.140,1736056799999,196936825.44140,32127,724.415,71242010.72410,0
1736056800000,98307.30,98463.40,98250.00,98413.00,1256.599,1736060399999,123588952.10180,30932,661.889,65103434.71260,0
1736060400000,98412.90,98430.50,98225.30,98225.30,1010.052,1736063999999,99312834.21470,27500,358.010,35201796.27020,0
1736064000000,98225.30,98225.40,97712.20,97826.00,5872.017,1736067599999,575020366.85840,101917,2457.419,240566695.18830,0
1736067600000,97825.90,97901.50,97596.00,97620.00,2748.312,1736071199999,268676724.17670,53104,1234.217,120657777.06450,0
1736071200000,97619.90,97739.80,97533.60,97693.80,2889.490,1736074799999,282134009.27370,57899,1465.008,143058762.47060,0
1736074800000,97693.80,97800.00,97569.60,97609.50,1684.387,1736078399999,164514120.47130,39904,823.693,80455531.59560,0
1736078400000,97609.50,97920.00,97520.60,97720.00,3267.791,1736081999999,319406025.52260,57892,1799.075,175876088.75890,0
1736082000000,97720.10,97988.00,97633.90,97654.60,2646.162,1736085599999,258863441.56960,49034,1289.886,126193463.49670,0
1736085600000,97654.50,97932.70,97227.00,97811.10,8117.988,1736089199999,791542511.60630,137605,3900.147,380372902.77640,0
1736089200000,97811.00,98248.50,97641.90,97986.60,5172.758,1736092799999,506836975.73300,96922,2786.752,273123038.04970,0
1736092800000,97987.10,98297.30,97888.00,97995.70,3155.934,1736096399999,309507355.23370,72117,1499.071,147028067.47400,0
1736096400000,97995.60,98038.70,97618.00,97695.10,3154.156,1736099999999,308568692.75470,59619,1051.526,102830551.07430,0
1736100000000,97695.10,97893.70,97530.00,97872.00,2854.515,1736103599999,278811606.42940,53985,1573.285,153689581.53170,0
1736103600000,97872.00,98088.00,97804.90,98050.00,3358.659,1736107199999,329091073.57580,53421,2038.018,199692618.97830,0
1736107200000,98050.00,98687.60,97986.30,98244.90,6344.976,1736110799999,624289611.97310,107639,3674.820,361573388.85450,0
1736110800000,98244.80,98500.00,98186.00,98475.40,2967.315,1736114399999,291824409.34740,49311,1598.778,157238195.30950,0
1736114400000,98475.40,98745.40,98317.50,98661.10,3247.835,1736117999999,320098610.47550,62577,1744.848,171987422.37950,0
1736118000000,98661.10,98852.60,98284.20,98340.20,4446.019,1736121599999,438093162.15100,85980,1934.313,190654063.50690,0
