open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1737504000000,106115.40,106298.70,105769.80,105923.70,4999.461,1737507599999,529802774.49510,150759,2265.374,240053519.40020,0
1737507600000,105923.70,106390.00,105431.90,105784.00,5321.113,1737511199999,563038592.00790,147696,2623.703,277694355.50680,0
1737511200000,105784.00,106184.50,105524.60,105569.90,3712.117,1737514799999,393021564.29370,101024,1883.953,199499756.53780,0
1737514800000,105569.90,105897.00,105564.40,105588.20,2309.732,1737518399999,244188697.50760,66907,1184.340,125213049.90750,0
1737518400000,105588.10,105800.00,105251.60,105554.20,3263.960,1737521999999,344504296.79340,81958,1508.009,159192533.90830,0
1737522000000,105554.30,105855.20,105462.20,105674.80,3244.025,1737525599999,342766059.89660,83492,1808.609,191111044.82830,0
1737525600000,105674.80,105948.60,105154.20,105366.20,5012.360,1737529199999,528885446.01750,127144,2466.693,260309944.12480,0
1737529200000,105366.20,105685.70,105037.20,105063.80,4743.163,1737532799999,499476220.08530,111300,2296.737,241900009.05410,0
1737532800000,105063.80,105336.80,104667.00,105245.10,7043.118,1737536399999,739537939.29880,175361,3440.734,361338994.26460,0
1737536400000,105245.10,105252.90,104882.00,104972.10,3266.879,1737539999999,343139261.67720,85523,1659.841,174343496.07170,0
1737540000000,104972.20,105145.00,104610.00,105112.00,3765.419,1737543599999,394958471.12330,100834,2054.047,215478520.43810,0
1737543600000,105112.00,105449.90,104721.00,105083.90,5372.628,1737547199999,564551307.80380,119832,2764.411,290508025.59790,0
1737547200000,105083.90,105557.20,105030.80,105233.00,4520.398,1737550799999,476173577.08630,103090,2344.751,247007747.91360,0
1737550800000,105232.90,105329.90,103785.30,104051.70,12740.329,1737554399999,1331059570.48770,263356,5543.610,579219921.35740,0
1737554400000,104052.90,104918.00,103612.00,104367.50,18283.676,1737557999999,1905206897.64700,393768,9075.315,945791591.77140,0
1737558000000,104367.60,105136.00,103930.80,104138.00,12287.915,1737561599999,1283968626.33650,311234,6173.378,645064760.95950,0
1737561600000,104138.10,104186.90,103211.60,103671.50,12544.842,1737565199999,1301384435.00540,295817,6116.358,634585181.80620,0
1737565200000,103671.60,104571.00,103630.10,104301.20,7694.927,1737568799999,801751434.35220,195971,4128.355,430112566.30320,0
1737568800000,104301.20,104650.00,103700.00,103866.60,5838.533,1737572399999,608656370.75710,176238,3010.743,313860070.75410,0
1737572400000,103866.60,104721.80,103821.70,104600.00,6152.749,1737575999999,642584101.21190,169302,3264.221,340903604.01990,0
1737576000000,104600.00,104804.50,104030.00,104276.50,6948.562,1737579599999,725349292.85150,179233,3116.346,325322906.74130,0
1737579600000,104276.50,104331.30,103556.70,104034.00,5147.364,1737583199999,534860054.05490,125454,2706.691,281259344.88120,0
1737583200000,104033.80,104465.00,103730.00,103830.30,3511.315,1737586799999,365359508.31850,87698,1735.779,180602602.64890,0
1737586800000,103830.20,104107.70,103607.50,103664.90,3518.943,1737590399999,365348989.06180,118394,1643.095,170623874.49220,0
