open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735948800000,98145.70,98260.00,97828.10,97912.00,4278.998,1735952399999,419525738.06780,67525,1705.928,167281000.01830,0
1735952400000,97912.10,98062.70,97762.10,97990.40,2329.236,1735955999999,228072069.37520,52011,1196.641,117178504.58450,0
1735956000000,97990.40,98272.60,97811.00,98267.40,2660.099,1735959599999,260812813.34660,53644,1423.404,139586678.40710,0
1735959600000,98267.50,98267.50,98000.10,98149.40,2528.278,1735963199999,248097754.88550,40858,1067.793,104761758.43420,0
1735963200000,98149.30,98149.40,97830.00,97970.50,2278.305,1735966799999,223144101.79130,46626,926.790,90762746.09650,0
1735966800000,97970.40,98162.40,97950.00,98087.30,1901.725,1735970399999,186510906.76940,39954,1048.696,102847351.82900,0
1735970400000,98087.30,98177.10,98003.20,98089.90,1419.475,1735973999999,139206563.71920,33498,704.922,69134205.83110,0
1735974000000,98089.90,98300.00,98062.80,98244.20,2143.615,1735977599999,210479687.02900,41677,1043.641,102476134.66100,0
1735977600000,98244.20,98300.00,97853.00,97870.00,3366.568,1735981199999,330149904.97630,57909,1251.617,122787061.61920,0
1735981200000,97870.00,97950.00,97438.20,97644.30,6694.994,1735984799999,654358610.62500,96623,3090.880,302109395.38130,0
1735984800000,97644.30,97813.00,97543.10,97740.00,2618.766,1735988399999,255844304.22640,60285,1377.055,134540784.05830,0
1735988400000,97739.90,97875.00,97650.80,97831.80,1946.401,1735991999999,190294390.05110,42698,981.941,96008085.20790,0
1735992000000,97831.80,97971.90,97751.40,97835.20,2700.114,1735995599999,264206123.92890,63849,1196.965,117123053.67660,0
1735995600000,97835.10,98032.10,97698.30,97924.40,3313.132,1735999199999,324194916.01880,70379,1734.153,169717293.36310,0
1735999200000,97924.30,98054.10,97777.00,97992.00,2487.961,1736002799999,243653458.74510,58365,1311.464,128451610.21140,0
1736002800000,97992.00,98117.60,97472.00,97623.60,6723.905,1736006399999,657047860.60210,138274,3208.504,313591330.51620,0
1736006400000,97623.50,97822.20,97535.70,97677.90,2797.839,1736009999999,273276177.25070,70229,1420.255,138721991.85990,0
1736010000000,97677.80,98018.00,97645.10,97982.50,1963.982,1736013599999,192148619.72700,46303,1121.500,109739360.50630,0
1736013600000,97982.60,98106.00,97858.00,97931.90,2477.423,1736017199999,242768351.26830,50079,1127.816,110528498.40710,0
1736017200000,97931.90,98334.60,97891.10,98120.30,2747.821,1736020799999,269722298.73780,56610,1533.981,150592671.15040,0
1736020800000,98120.40,98662.00,98120.30,98577.40,4884.202,1736024399999,480736607.75580,83432,2830.541,278594988.79270,0
1736024400000,98577.40,98760.90,98300.00,98335.80,3607.559,1736027999999,355411394.54900,73290,1573.252,155035033.92910,0
1736028000000,98335.80,98461.10,98232.00,98372.50,1780.797,1736031599999,175104533.90370,35675,879.597,86498869.70590,0
1736031600000,98372.40,98390.50,98076.40,98173.20,2263.439,1736035199999,222299927.80750,45443,851.195,83597719.51600,0
